X,Y,OBJECTID_1,OBJECTID,Name,Address,Postcode,Town,Type_,Comments
-6.305505757118087,55.060302749079824,64,74,The Pound Bar,"18 Corkey Road, Loughgiel, County Antrim",BT44 5JJ,Loughgiel,Pub, 
-6.351107614161887,55.096861059814906,65,75,The Scenic Inn,"38 Fivey Road, Armoy, County Antrim",BT53 8UT,Armoy,Pub, 
-6.522973752699805,55.20437291247768,66,76,Finn MacCool's Public House and Guest Inn,"124 Main Street, Bushmills, County Antrim",BT57 8QD,Bushmills,Hotel, 
-6.523818648664922,55.206414686856704,67,77,Scotch House Inn,"51 Main Street, Bushmills, County Antrim",BT57 8QA,Bushmills,Restaurant, 
-6.522761432004068,55.20372164615214,68,78,The Distillers Arms,"140 Main Street, Bushmills, County Antrim",BT57 8QE,Bushmills,Restaurant, 
-6.52321472397088,55.205610399290386,69,79,The Bush House,"72-74 Main Street, Bushmills, County Antrim",BT57 8QD,Bushmills,Pub, 
-6.063590596361045,55.080693382642387,70,80,The Central Bar,"7 Bridge Street, Cushendall, County Antrim",BT44 0RP,Cushendall,Pub, 
-6.063376020027586,55.080610473471737,71,81,Lurig Inn,"5 Bridge Street, Cushendall, County Antrim",BT44 0RP,Cushendall,Pub, 
-6.655952882954749,55.207823123070916,72,82,The Offshore Bar,"95-97 Mark Street, Portrush, County Antrim",BT56 8BU,Portrush,Pub, 
-6.65516967899757,55.207888933377184,73,83,The Ramada Hotel,"73 Main Street, Portrush, County Antrim",BT56 8BN,Portrush,Hotel, 
-6.657283258832191,55.207778739457467,74,84,Neptune and Prawn,"54 Kerr St, Portrush, County Antrim",BT56 8DQ,Portrush,Restaurant, 
-6.658313226646747,55.207951682887348,75,85,Ramore Restaurants,"Harbour Road, Portrush, County Antrim",BT56 8DF,Portrush,Restaurant, 
-6.65843929094007,55.207613448340275,76,86,The Harbour Bar,"Harbour Rd, Portrush, County Antrim",BT56 8DF,Portrush,Pub, 
-6.658651184918454,55.207448156339687,77,87,Portrush Yacht Club,"Harbour Rd, Portrush, County Antrim",BT56 8DF,Portrush,Social Club, 
-6.250729564252773,55.200763501722257,78,89,Halo Night Club,"5 The Diamond, Ballycastle, County Antrim",BT54 6AW,Ballycastle,Night Club, 
-6.250308457998112,55.200458882650061,79,90,Finn Patricks,"6 The Diamond, Ballycastle, Co. Antrim",BT54 6AW,Ballycastle,Pub, 
-6.249774697368326,55.20123956037682,80,91,O'Connors Bar,"13 Ann Street, Ballycastle, County Antrim",BT54 6AA,Ballycastle,Pub, 
-6.251365248492689,55.200442044010387,81,92,McKeague's Pub,"65 Castle Street, Ballycastle, County Antrim",BT54 6AR,Ballycastle,Pub, 
-6.250654462254736,55.200501744001791,82,93,Antrim Arms, , ,Ballycastle,Hotel, 
-6.652603338462011,55.203483664376698,83,94,The Quays,"61-63 Eglinton Street, Portrush, County Antrim",BT56 8DZ,Portrush,Pub, 
-6.717805530347742,55.181816572087151,84,95,Portstewart Arms,"2 Coleraine Road, Portstewart, County Londonderry",BT55 7JW,Portstewart,Pub, 
-6.664659165669461,55.133583345664036,85,96,The Clyde Tavern,"40 Railway Road, Coleraine, County Londonderry",BT52 1PF,Coleraine,Pub, 
-6.663964472896819,55.134086273291992,86,97,Fairleys,"62 Railway Road, Coleraine, County Londonderry",BT52 1PF,Coleraine,Pub, 
-6.678057759984597,55.132171166861248,87,98,The Old Court House,"Castlerock Road, Coleraine, County Londonderry",BT51 3HP,Coleraine,Restaurant, 
-6.771294785227911,55.145925984819655,88,99,The Village Tavern,"24 St Pauls Road, Articlave, County Londonderry",BT51 4UW,Articlave,Pub, 
-6.51742314154843,55.071043370116143,89,100,The Northern Star,"2 Linenhall Street, Ballymoney, County Antrim",BT53 6DP,Ballymoney,Pub, 
-6.515770899872088,55.072784845841049,90,101,The Bush Tavern,"15-17 Market Street, Ballymoney, County Antrim",BT53 6EA,Ballymoney,Pub, 
-6.952159246430018,55.049734342270391,91,102,Shiraz Winebar,"45 Catherine Street, Limavady, County Londonderry",BT49 9DA,Limavady,Restaurant, 
-6.964583574586634,55.191281683541263,92,103,The Point Bar and Restaurant,"107 Point Road, Magilligan, County Londonderry",BT49 0LP,Limavady,Restaurant, 
-6.672843265987031,55.131692225360084,93,104,The Queens Arms,"7 Bridge Street, Coleraine, County Londonderry",BT52 1DR,Coleraine,Pub, 
-6.928012154402344,54.928828057304685,94,105,Sperrin View Bar,"34 Main Street, Feeny, County Londonderry",BT47 4LD,Feeny,Pub, 
-7.021204934672141,54.892221512739376,95,106,Sperrin View Bar,"34 Main Street, Feeny, County Londonderry",BT47 4LD,Feeny,Pub, 
-7.021558987247676,54.892187576134454,96,107,The Sportsman,"30 Main Street, Feeny, County Londonderry",BT47 4LD,Feeny,Pub, 
-6.654188632961148,55.207331262244708,97,108,Kiwi's Brew Bar,"47 Main Street, Portrush, County Londonderry",BT56 8BL,Portrush,Pub, 
-6.671734500219679,55.121535021011695,98,109,Premier Inn,"3 Riverside Park, Coleraine, County Londonderry",BT51 3GE,Coleraine,Hotel, 
-6.602740275178478,55.037170903334179,99,110,Brown Trout Golf and County Inn,"209 Agivey Road, Aghadowey, County Londonderry",BT51 4AD,Aghadowey,Restaurant, 
-6.655160266193342,55.126173199010033,100,111,The Lodge Hotel,"Lodge Road, Coleraine, County Londonderry",BT52 1NF,Coleraine,Hotel, 
-6.690782544295932,55.103889109668827,101,112,The Bushtown Hotel,"263 Drumcroon Road, Coleraine, County Londondery",BT51 3QT,Coleraine,Hotel, 
-6.654592372790795,55.207609939985396,102,113,Adelphi Portrush,"67-71 Main Street, Portrush, County Antrim",BT56 8BN,Portrush,Hotel, 
-6.951651585131919,55.050293506400109,103,114,The Inn,"25 Catherine Street, Limavady, County Londonderry",BT49 9DA,Limavady,Pub, 
-6.553716559293779,54.951900025963006,104,115,Antrim Arms,"22-24 Bridge Street, Kilrea, County Londonderry",BT51 5RS,Kilrea,Pub, 
-6.544889618784885,55.215637323181916,105,116,Bayview Hotel,"2 Bayhead Road, Portballintrae, County Antrim",BT57 8RZ,Portballintrae,Hotel, 
-6.784532432016004,55.165861879420532,106,117,Castlerock Golf Club,"65 Circular Road, Castlerock, County Londonderry",BT51 4TJ,Castlerock,Social Club, 
-6.650671128186773,55.204899715711299,107,118,The Springhill,"15-17 Causeway Street, Portrush, County Antrim",BT56 8AB,Portrush,Pub, 
-6.662457203035888,55.128619725446008,108,119,Coleraine Bowling Club,"55 Lodge Road, Coleraine, County Londonderry",BT52 1NA,Coleraine,Social Club, 
-6.660631759159961,55.133315280958335,109,120,Coleraine Football Club,"61 Ballycastle Road, Coleraine, County Londonderry",BT52 2DY,Coleraine,Social Club, 
-6.656967628222147,55.12326164043337,110,121,Coleraine Rugby Club,"1 Rugby Avenue, Coleraine, County Londonderry",BT52 1JL,Coleraine,Social Club, 
-6.666996363874566,55.134003018411747,111,122,Coleraine Ulster Scots Resource Centre,"3a Union Street, Coleraine, County Londonderry",BT52 1QB,Coleraine,Social Club, 
-6.675984051617506,55.144763633443716,112,123,Coleraine Yacht Club,"Coleraine Marina, Portstewart Road, Coleraine, County Londonderry",BT52 1RS,Coleraine,Social Club, 
-6.605798761294726,55.143157788726242,113,124,Coronation Sports and Social Club,"32 Creamery Road, Coleraine, County Londonderry",BT52 2NE,Coleraine,Social Club, 
-6.652494575508838,55.203823690072731,114,125,Eglinton Hotel,"49 Eglinton Street, Portrush, County Londonderry",BT56 8DZ,Portrush,Hotel, 
-7.122682825748365,55.032249456167456,115,126,The Foyleview Bar and Lounge,"161 Clooney Road, Greysteel, County Londonderry",BT47 3DY,Greysteel,Pub, 
-7.122047141898915,55.031874373532617,116,127,The Rising Sun,"107 Killylane Road, Greysteel, County Londonderry",BT47 3DR,Greysteel,Pub, 
-6.929864569926904,55.147948616422966,117,128,Bob's Bistro,"401 Seacoast Rd, Limavady, County Londonderry",BT49 0LW,Limavady,Restaurant, 
-6.556427283884592,54.95124528649454,118,129,Farmers Rest,"18 Maghera Street, Kilrea, County Londonderry",BT51 5QN,Kilrea,Pub, 
-6.687621021071083,54.982197717325064,119,130,Garvagh Sports and Social Club,"95a Main Street, Garvagh, County Londonderry",BT51 5AB,Garvagh,Pub, 
-6.736031004763819,54.955016483005593,120,131,Glenullin GAC,"5 Curraghmore Road, Garvagh, County Londonderry",BT51 5DS,Garvagh,Social Club, 
